compound_id,std_smiles,inchikey,scaffold,generic_scaffold,mw,logp,tpsa,hbd,hba,rotbonds,rings,aromatic_rings,heavy_atoms,fsp3,qed,is_pains,pIC50_func_CHEMBL233,pIC50_func_CHEMBL233_relation,pIC50_func_CHEMBL237,pIC50_func_CHEMBL237_relation,pEC50_CHEMBL233,pEC50_CHEMBL233_relation,pEC50_CHEMBL236,pEC50_CHEMBL236_relation,pAC50_CHEMBL233,pAC50_CHEMBL233_relation,pAC50_CHEMBL236,pAC50_CHEMBL236_relation,pEC50_CHEMBL237,pEC50_CHEMBL237_relation,pAC50_CHEMBL237,pAC50_CHEMBL237_relation,pIC50_func_CHEMBL2014,pIC50_func_CHEMBL2014_relation,pIC50_func_CHEMBL236,pIC50_func_CHEMBL236_relation,pEC50_CHEMBL2014,pEC50_CHEMBL2014_relation
BDBM:50122543,BrC1=CC[C@@H]2C(=C1)[C@@H]1c3cc(Br)ccc3C[C@@H]2N2CCC[C@@H]12,IBQFOMGOINHVJA-FCLVOEFKSA-N,C1=CC[C@@H]2C(=C1)[C@@H]1c3ccccc3C[C@@H]2N2CCC[C@@H]12,C1CCC2C(C1)CC1C3CCCCC3C2C2CCCC12,421.18,5.16,3.2,0,1,0,6,1,22,0.474,0.56,False,6.301,exact,5.1308,exact,,,,,,,,,,,,,,,5.2993,exact,,
BDBM:50000291,NC(=O)C1CCC[C@@H](CN2CCCC2)N1C(=O)Cc1ccc(Cl)c(Cl)c1,ICAWTAHWBSSMPY-MBIQTGHCSA-N,O=C(Cc1ccccc1)N1CCCC[C@H]1CN1CCCC1,CC(CC1CCCCC1)C1CCCCC1CC1CCCC1,398.33,2.87,66.6,1,3,5,3,1,26,0.579,0.83,False,,,5.0,upper_bound,,,,,,,,,,,,,,,,,,
PUBCHEM:46240461,CN1c2ccccc2C(NCCCCCCC(N)=O)c2ccc(Cl)cc2S1(=O)=O,ICDFMGMMFWNOIS-UHFFFAOYSA-N,O=S1(=O)Nc2ccccc2Cc2ccccc21,CC1(C)CC2CCCCC2CC2CCCCC21,435.98,3.59,92.5,2,4,8,3,2,29,0.381,0.619,False,,,,,5.0,exact,,,,,,,,,,,,,,,,
PUBCHEM:8249,N=C(N)N=C(N)NCCc1ccccc1,ICFJFFQQTFMIBG-UHFFFAOYSA-N,c1ccccc1,C1CCCCC1,205.26,0.03,100.3,4,1,3,1,1,15,0.2,0.413,False,,,,,,,,,4.5229,exact,4.5229,exact,,,5.0,exact,,,,,,
CHEMBL2381584,COC(=O)CC(=O)OC1CC(C(=O)OC)[C@]2(C)CCC3C(=O)O[C@H](c4ccoc4)C[C@]3(C)C2C1=O,ICJYWRXMAGHSJZ-HIUMWHHOSA-N,O=C1O[C@H](c2ccoc2)CC2C1CCC1CCCC(=O)C12,CC1CC(C2CCCC2)CC2C1CCC1CCCC(C)C12,490.51,2.54,135.4,0,10,5,4,1,35,0.64,0.344,False,,,,,,,,,,,,,6.8633,exact,,,,,,,,
PUBCHEM:71613507,COC(=O)CC(=O)OC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,ICJYWRXMAGHSJZ-UHFFFAOYSA-N,O=C1OC(c2ccoc2)CC2C1CCC1CCCC(=O)C12,CC1CC(C2CCCC2)CC2C1CCC1CCCC(C)C12,490.51,2.54,135.4,0,10,5,4,1,35,0.64,0.344,False,,,,,,,,,,,,,6.8633,exact,,,,,,,,
CHEMBL1194287,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,ICKFFNBDFNZJSX-UHFFFAOYSA-N,c1ccc(CNc2ccccn2)cc1,C1CCC(CCC2CCCCC2)CC1,289.81,3.3,19.4,0,3,6,2,2,20,0.312,0.813,False,,,,,,,,,5.2827,exact,,,,,,,,,,,,
PUBCHEM:5639,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,ICMGLRUYEQNHPF-UHFFFAOYSA-N,O=c1cc(NCCCN2CCN(c3ccccc3)CC2)[nH]c(=O)[nH]1,CC1CC(C)CC(CCCCC2CCC(C3CCCCC3)CC2)C1,387.48,0.72,71.7,1,6,7,3,2,28,0.5,0.706,False,,,,,,,,,4.5229,exact,4.5229,exact,,,4.5229,exact,,,,,,
PUBCHEM:129252254,COC1CN(c2nc3ccc(C)cc3cc2-c2nc(C3CC3)no2)CCC1NC1CCCC1,ICNDALRDGGXDSE-UHFFFAOYSA-N,c1ccc2nc(N3CCC(NC4CCCC4)CC3)c(-c3nc(C4CC4)no3)cc2c1,C1CCC(CC2CCC(C3CC4CCCCC4CC3C3CCC(C4CC4)C3)CC2)C1,447.58,4.6,76.3,1,7,6,6,3,33,0.577,0.592,False,,,8.2218,exact,,,,,,,,,,,,,,,,,,
CHEMBL5801258,CO[C@@H]1CN(c2nc3ccc(C)cc3cc2-c2nc(C3CC3)no2)CC[C@@H]1NC1CCCC1,ICNDALRDGGXDSE-XZOQPEGZSA-N,c1ccc2nc(N3CCC(NC4CCCC4)CC3)c(-c3nc(C4CC4)no3)cc2c1,C1CCC(CC2CCC(C3CC4CCCCC4CC3C3CCC(C4CC4)C3)CC2)C1,447.58,4.6,76.3,1,7,6,6,3,33,0.577,0.592,False,,,8.2218,exact,,,,,,,,,,,,,,,,,,
CHEMBL5871867,CCCC(C)NC1CCN(c2nc3ccc(C)cc3cc2-c2noc(C)n2)CC1,ICNPETBZXKIIKU-UHFFFAOYSA-N,c1ccc2nc(N3CCCCC3)c(-c3ncon3)cc2c1,C1CCC(C2CC3CCCCC3CC2C2CCCC2)CC1,393.54,4.65,67.1,1,6,6,4,3,29,0.522,0.658,False,,,7.0706,exact,,,,,,,,,,,,,,,,,,
PUBCHEM:137371332,CCC(=O)N(CC1(N2CC3CN(Cc4ccccc4)CC3C2)CCOCC1)c1cccc(C(F)(F)F)n1,ICOVWBMVDQFOOY-UHFFFAOYSA-N,c1ccc(CN2CC3CN(C4(CNc5ccccn5)CCOCC4)CC3C2)cc1,C1CCC(CCC2(C3CC4CC(CC5CCCCC5)CC4C3)CCCCC2)CC1,516.61,4.46,48.9,0,5,7,5,2,37,0.571,0.544,False,,,,,6.0,exact,,,,,,,,,,,,,,,,
CHEMBL146054,CC(c1ccccc1Cl)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,ICPHYGRATJRGHH-UHFFFAOYSA-N,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccccc2)CC1,CC1CC2CCCCC2C1C1CCC(CC2CCCCC2)CC1,355.87,4.38,41.0,1,2,3,4,3,25,0.35,0.757,False,7.3665,exact,7.4949,exact,6.9393,exact,,,,,,,,,,,8.2291,exact,5.7212,exact,7.6021,exact
CHEMBL6195966,COCCN1CC[C@@]23CC(=O)CC[C@@H]2[C@H]1Cc1ccc(O)cc13,ICQVSCFBXDCNMW-BHIYHBOVSA-N,O=C1CC[C@@H]2[C@H]3Cc4ccccc4[C@]2(CCN3)C1,CC1CCC2C3CCCC2(C1)C1CCCCC1C3,315.41,2.28,49.8,1,4,3,4,1,23,0.632,0.93,False,8.301,exact,,,,,,,,,,,,,,,,,,,,
PUBCHEM:122690086,COCCN1CCC23CC(=O)CCC2C1Cc1ccc(O)cc13,ICQVSCFBXDCNMW-UHFFFAOYSA-N,O=C1CCC2C3Cc4ccccc4C2(CCN3)C1,CC1CCC2C3CCCC2(C1)C1CCCCC1C3,315.41,2.28,49.8,1,4,3,4,1,23,0.632,0.93,False,8.301,exact,,,,,,,,,,,,,,,,,,,,
BDBM:461936,COCCN1CC[C@]23CC(=O)CC[C@H]2[C@H]1Cc1ccc(O)cc13,ICQVSCFBXDCNMW-UHOSZYNNSA-N,O=C1CC[C@H]2[C@H]3Cc4ccccc4[C@@]2(CCN3)C1,CC1CCC2C3CCCC2(C1)C1CCCCC1C3,315.41,2.28,49.8,1,4,3,4,1,23,0.632,0.93,False,8.301,exact,,,,,,,,,,,,,,,,,,,,
CHEMBL1076347,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,ICUTUKXCWQYESQ-UHFFFAOYSA-N,O=C(Nc1ccccc1)Nc1ccccc1,CC(CC1CCCCC1)CC1CCCCC1,315.59,5.29,41.1,2,1,2,2,2,19,0.0,0.776,False,,,,,,,,,5.3144,exact,,,,,,,,,,,,
CHEMBL4114481,CCC(C)CC1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)CC1=O,ICUWGRCANVXATD-TWFLOUDLSA-N,O=C1CCC2[C@H]3Cc4ccccc4[C@@]2(CCN3CC2CC2)C1,CC1CCC2C3CC4CCCCC4C2(CCC3CC2CC2)C1,397.56,3.82,60.8,2,4,5,5,1,29,0.72,0.793,False,,,,,,,,,,,,,8.1209,exact,,,,,,,,
PUBCHEM:77107758,CCC(C)CC1CC2(O)C3Cc4ccc(O)cc4C2(CCN3CC2CC2)CC1=O,ICUWGRCANVXATD-UHFFFAOYSA-N,O=C1CCC2C3Cc4ccccc4C2(CCN3CC2CC2)C1,CC1CCC2C3CC4CCCCC4C2(CCC3CC2CC2)C1,397.56,3.82,60.8,2,4,5,5,1,29,0.72,0.793,False,,,,,,,,,,,,,8.1209,exact,,,,,,,,
BDBM:309431,[C][C]1[C@H]2[C]c3ccc(C([N])=O)cc3[C@@]1([C])[C][C]N2[C][C]=C([C])[C],ICVFOULSWFVZSW-QUCCMNQESA-N,[C]1[C]C2[CH][C@@H]([C]c3ccccc32)N1,[C]1[C]C2[CH]C([C]C3CCCCC23)C1,288.26,1.08,42.6,0,2,3,3,1,23,0.1,0.835,False,5.8861,upper_bound,,,6.9586,exact,,,,,,,,,,,,,,,,
